2026-03-05 00:19:14 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-05 00:19:14 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:19:52 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmpnofg0g9x
2026-03-05 00:19:53 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:20:52 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmptuw2zj8f
2026-03-05 00:20:52 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:21:39 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmpzvcbpwie
2026-03-05 00:21:39 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:21:39 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmp_ih13dxv
2026-03-05 00:21:39 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:30:07 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmpe9xmwymd
2026-03-05 00:30:07 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:30:07 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmp4tr5z5y2
2026-03-05 00:30:07 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:31:03 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmpi87a8je8
2026-03-05 00:31:03 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:31:03 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmpvwqjnscs
2026-03-05 00:31:03 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:53:05 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmpli6l3k3h
2026-03-05 00:53:06 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-05 00:53:06 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmpbek2a5ri
2026-03-05 00:53:06 | SUCCESS  | utils.db:164 | ✅ Database ready
